ID,Caption
1276,Change Shape to Notched Right Arrow
1237,Change Shape to Octagon
1240,Change Shape to Oval
1295,Change Shape to Oval Callout
1233,Change Shape to Parallelogram
1277,Change Shape to Pentagon
1244,Change Shape to Plaque
1269,Change Shape to Quad Arrow
1291,Change Shape to Quad Arrow Callout
1232,Change Shape to Rectangle
1293,Change Shape to Rectangular Callout
1245,Change Shape to Regular Pentagon
1263,Change Shape to Right Arrow
1285,Change Shape to Right Arrow Callout
1259,Change Shape to Right Brace
1257,Change Shape to Right Bracket
1239,Change Shape to Right Triangle
1236,Change Shape to Rounded Rectangle
1294,Change Shape to Rounded Rectangular Callout
1252,Change Shape to Smiley Face
1275,Change Shape to Striped Right Arrow
2677,Change Shape to Sun
1234,Change Shape to Trapezoid
1274,Change Shape to U-Turn Arrow
1265,Change Shape to Up Arrow
1287,Change Shape to Up Arrow Callout
1301,Change Shape to Up Ribbon
1268,Change Shape to Up-Down Arrow
1290,Change Shape to Up-Down Arrow Callout
1248,Change Shape to Vertical Scroll
1246,Change Shape to Wave
287,Change Text Direction
3118,Change to
1,Chart
22,Check Box
9340,Check for Updates
6128,Check In...
36,Check Names
6127,Check Out
3972,Chinese Envelope...
113,Circle: Hollow
30021,Clear
68,Clip Art...
84,Close
17,Close Full Screen
142,Close Path
92,Close Picture
609,Closing...
13,Collapse
24618,Collapse All Headings
24617,Collapse Heading
163,Collapse Subdocuments
140,Color
802,Column
294,Columns
9,Columns...
351,Combine Characters...
22,Combo Box
185,Command Button
6231,Comments
2338,Compare and Merge Documents...
7698,Compare Side by Side with Doc1.docm
769,Compare Side by Side with Document 5.docm
638,Compress Pictures...
104,Connector: Curved
264,Connector: Curved Arrow
264,Connector: Curved Double-Arrow
104,Connector: Elbow
264,Connector: Elbow Arrow
264,Connector: Elbow Double-Arrow
263,Connectors
7903,Contact Support
7024,Contents
612,Continue Numbering
54,Control Toolbox
30447,Convert
278,Convert to Endnote
3487,Copilot
1,Copy
157,Copy Hyperlink
938,Copy Ink As Text
4661,Copy Link to Location...
142,Corner Point
585,Coworker
96,Create AutoText...
23,Create Subdocument
230,Create Text Box Link
73,Crop
112,Cross
775,Cross-reference...
112,Cube
104,Curve
209,Curved Connector
141,Curved Segment
1572,Custom:
797,Customize...
2,Cut
5830,Cycle
112,Cylinder
69,Dash Style
1448,Dash Styles
327,Data Form
2414,Data Grid
21,Database...
12,Date
768,Date and Time...
1,Decrease Indent
738,Decrease Text Size
585,Delete
6247,Delete All Comments in Document
6246,Delete All Comments Shown
9320,Delete All Ink Annotations in Document
33,Delete Cells...
159,Delete Comment
383,Delete Frame
35,Delete Mail
141,Delete Point
21,Delete Record
269,Delete Segment
682,Delete Shape
23,Delete Subdocument
367,Delete Table
13,Demote
13,Demote to Body Text
137,Depth
160,Design Mode
3774,Detect and Repair...
184,Diagonal Down Border
184,Diagonal Up Border
103,Diagram...
111,Diamond
1394,Dim
138,Direction
696,Display for Review
206,Distribute Columns Evenly
40,Distribute Horizontally
206,Distribute Rows Evenly
46,Distribute Vertically
279,Distributed
381,Do Not Refresh
7710,Document Management...
171,Document Map
280,Dot Accent
263,Double Brace
263,Double Bracket
5,Double Spacing
71,Double Strikethrough
263,Double Wave
103,Down
992,Download Pictures
3133,Draw
205,Draw Table
31,Draw Vertical Text Box
20,Drawing
788,Drawing and Writing Pen
28,Drop Cap...
722,Edit
646,Edit Address Block...
2456,Edit Barcode...
21,Edit Box
1533,Edit Citation
205,Edit Comment
573,Edit Field...
282,Edit Footer
646,Edit Greeting Line...
1412,Edit Header
157,Edit Hyperlink...
20,Edit Points
1533,Edit Source
140,Edit Text
209,Edit Text...
137,Edit Wrap Points
396,Enclose Characters...
614,End Review...
3660,English (United States)
1445,English Assistance
2,Envelope
794,Envelopes and Labels...
